layer,points,mean,std,min,max,used
abseits,57,0.00020525228129320006,0.0009359714335688273,0.0,0.006010665875927579,0
abseits,46,0.001332380599004648,0.0019166687614225733,0.0,0.009943658953877898,0
abseits,28,0.0010436279736987855,0.0030853211901150303,0.0,0.012291532544385059,0
abseits,543,4.160990059971527e-06,6.083352245773294e-05,0.0,0.001104367642920323,0
abseits,245,0.00014726983170828092,0.0015024725095224,0.0,0.016671279029484593,0
abseits,24,0.0025696628262493657,0.007070947233625098,0.0,0.02664315084292318,0
abseits,550,4.2072718194067314e-05,0.0005537092203681615,0.0,0.010311908012500481,0
abseits,709,4.984705390577005e-06,8.677654838351252e-05,0.0,0.001996908611914705,1
abseits,36,0.00035002294222443386,0.0012069074777958863,0.0,0.005257274591895955,1
abseits,35,0.00019942707415188948,0.0002499213755983536,0.0,0.0008345603781362062,1
abseits,318,8.933536438632436e-06,9.319030823951233e-05,0.0,0.0011910330708815309,0
abseits,36,0.00010612759873459106,0.00035753857845950693,0.0,0.0014505733285783973,1
abseits,101,7.753203691306398e-05,0.0004004596204003463,0.0,0.0029293619143735405,0
abseits,16,0.0003899529794125847,0.0009396111820498264,0.0,0.0035877872417136095,0
abseits,16,0.0005366115042657743,0.001336545000241323,0.0,0.004309656272881962,0
abseits,15,0.0010760895844793765,0.0022622067726187525,0.0,0.0065126853138800095,0
abseits,13,0.007188623588600868,0.015120210765329866,0.0,0.04227934100847028,0
abseits,87,3.0457105926793216e-05,0.00015686901589152921,0.0,0.0012437773346996028,0
abseits,61,0.00026341517578350887,0.0011768478141005623,0.0,0.006658343874035744,0
abseits,38,0.00019799755380828818,0.0006845325471866109,0.0,0.0028207225194587515,0
abseits,10,0.0007774058997490099,0.0013162812175855272,0.0,0.004509306996603504,0
abseits,12,0.006197846558802529,0.011963839662349264,0.0,0.03767966801124005,0
weiche,172,8.248049199888972e-05,0.000551790486735537,0.0,0.004805264175684609,1
weiche,24,0.0012585209490662077,0.0025149709339200074,0.0,0.008740573062442886,1
weiche,62,0.0036849639479132426,0.012653461377138154,0.0,0.09136561708952418,0
weiche,65,0.001923172475493232,0.006566813744279036,0.0,0.03822604013836981,0
weiche,173,0.0007836110914469647,0.005068988176295708,0.0,0.05019599218272427,0
weiche,258,0.0003881304523428775,0.002551547470795357,0.0,0.03174732511054207,0
weiche,128,0.00017281174299049783,0.000903563620722733,0.0,0.006440995660748988,1
needsfilter,103,0.0031374817356139323,0.008903798042345024,0.0,0.05538976230922955,0
needsfilter,98,0.0017819382467017585,0.005966911443650996,0.0,0.04063806712267226,0
needsfilter,16,0.0030518003234646946,0.006716295581625016,0.0,0.02201153015473739,0
needsfilter,60,0.005237860223401147,0.01701400662219043,0.0,0.10274849781987314,0
needsfilter,162,0.00038974068466231644,0.001366355472003335,0.0,0.013813575457738344,1
needsfilter,48,0.0004153610751943874,0.0017020372223632086,0.0,0.011371608086307751,1
needsfilter,111,2.0784321208635685e-05,8.952367479813596e-05,0.0,0.0007977603933110866,1
needsfilter,15,0.001881176752840393,0.003953882953363516,0.0,0.013050109370109364,1
needsfilter,42,0.003047791260493556,0.009122164832310932,0.0,0.042833598541511614,1
viele,125,0.0011135683293593303,0.003671310062123934,0.0,0.030799346835437558,0
viele,161,0.0005845935739585041,0.0021038760345750748,0.0,0.01695502997143447,1
viele,198,6.917201701648986e-05,0.0005409995081658147,0.0,0.0062190215103710145,1
viele,53,0.0008120599697150907,0.00168944621276426,0.0,0.009774163552308562,1
viele,84,0.001035930250492405,0.002738376327285681,0.0,0.01693684435124186,1
viele,284,7.835152632854147e-05,0.0005299678557311856,0.0,0.007582283942393048,1
viele,413,0.00042474652764660603,0.0019547541428528367,0.0,0.02665560163133538,0
viele,156,0.00023174721073976516,0.000722342230730952,0.0,0.00791324181862871,0
viele,29,0.0022951578689719893,0.004426404014460794,0.0,0.015463462838112646,0
viele,88,0.0014537223286119692,0.004096786906809693,0.0,0.022920786237095703,0
viele,87,0.001043109826332193,0.0022721696623982423,0.0,0.014069741753477243,0
viele,56,0.0007424886132571982,0.003392080064853364,0.0,0.024349067265238097,0
viele,68,0.0024044836066478654,0.007913632557331745,0.0,0.05479000797651993,0
viele,45,0.00019435186737591802,0.0007331073813140591,0.0,0.0032704294280581636,0
viele,26,0.0008398018314046493,0.0023039044584200613,0.0,0.011558828687826032,0
viele,120,0.0004193918025539077,0.0016386451084860658,0.0,0.013057109682046819,0
viele,162,0.00022497006560643503,0.0004942955953380683,0.0,0.0034335215618404857,0
viele,57,0.00041630885856938903,0.0011949693715399689,0.0,0.005511124787549185,0
viele,132,0.0013817118064148486,0.004446460587276008,0.0,0.0293976200873044,0
viele,124,3.97552884109848e-05,0.00021488804728339182,0.0,0.0014769677962449546,0
viele,91,0.0003286270550466951,0.0018991310448125474,0.0,0.013363185161550994,0
viele,43,0.0004401391798498006,0.0008496008402481532,0.0,0.00419917165383156,0
viele,133,7.882192505138555e-05,0.000551337315181925,0.0,0.004857664842004894,0
viele,32,0.003878419130747286,0.0075032280235135945,0.0,0.02294856337339228,0
viele,12,0.0006671385075079009,0.0013121914676675918,0.0,0.003881640559345017,0
